Date,State,District,Mandi,Crop,Season,Month,Year,Arrival Quantity (Tonnes),Market Price (₹/kg),Minimum Price,Maximum Price,Rainfall (mm),Temperature (°C),Humidity (%),Fuel Price,Transport Cost (₹/kg),Distance (km),Festival Season,Supply Index,Demand Index
2021-08-13,Punjab,Ludhiana,Ludhiana APMC,Sunflower,Monsoon,8,2021,292.4,131.46,113.49,151.48,111.0,32.5,79.7,85.28,0.87,204,Yes,77,164
2024-06-07,Tamil Nadu,Madurai,Paravai Market,Wheat,Monsoon,6,2024,326.0,33.94,30.66,38.67,149.4,32.0,94.3,91.52,1.37,300,No,90,110
2020-03-02,Haryana,Panipat,Panipat Market,Tur (Arhar),Summer,3,2020,438.7,70.34,63.11,74.57,2.6,34.3,32.9,87.28,0.38,86,No,94,95
2024-05-02,Karnataka,Belagavi,Belagavi Market,Maize,Summer,5,2024,84.4,24.76,21.71,26.9,6.8,43.5,48.2,92.67,0.59,128,No,102,102
2021-05-11,Tamil Nadu,Tiruppur,Palladam Market,Paddy,Summer,5,2021,293.8,28.33,24.58,30.07,2.6,36.9,50.6,89.44,1.24,278,No,73,90
2020-12-03,Tamil Nadu,Coimbatore,Mettupalayam Market,Mustard,Winter,12,2020,19.7,74.52,66.16,88.7,8.3,18.6,62.1,84.27,1.22,290,No,72,108
2023-11-10,Uttar Pradesh,Kanpur,Kanpur Mandi,Coconut,Post-Monsoon,11,2023,335.7,52.79,45.67,57.6,2.5,29.9,89.0,91.77,0.93,202,Yes,102,134
2020-03-14,Telangana,Karimnagar,Karimnagar APMC,Wheat,Summer,3,2020,232.1,38.28,34.44,45.54,1.9,43.1,43.0,85.95,0.19,44,No,69,106
2024-12-29,Gujarat,Rajkot,Rajkot Market,Cotton,Winter,12,2024,217.4,49.04,43.02,51.99,8.1,13.4,55.5,94.13,0.53,113,No,132,115
2023-04-09,Kerala,Ernakulam,Ernakulam Central,Moong,Summer,4,2023,216.4,59.06,50.29,68.08,2.3,34.6,37.3,88.73,0.46,103,No,107,80
2024-06-05,Tamil Nadu,Trichy,Gandhi Market,Tomato,Monsoon,6,2024,304.4,16.27,13.88,17.44,100.6,25.5,80.5,91.61,1.31,285,No,95,66
2025-06-28,Telangana,Hyderabad,Kukatpally APMC,Moong,Monsoon,6,2025,358.6,123.65,114.48,143.86,96.7,25.5,73.7,95.12,0.62,131,No,78,111
2023-06-02,Gujarat,Rajkot,Rajkot Market,Sunflower,Monsoon,6,2023,188.9,51.0,47.62,60.28,62.7,31.8,90.2,92.61,0.31,68,No,84,72
2022-03-20,Kerala,Palakkad,Palakkad APMC,Ragi,Summer,3,2022,154.7,31.23,27.83,34.34,6.0,32.6,25.3,91.06,1.28,282,No,79,90
2024-07-30,Haryana,Karnal,Karnal APMC,Tomato,Monsoon,7,2024,365.6,18.89,16.19,22.58,186.5,26.3,85.4,92.12,0.07,15,No,105,79
2021-03-09,Punjab,Ludhiana,Ludhiana APMC,Paddy,Summer,3,2021,418.3,22.09,20.56,26.37,7.0,32.3,29.0,86.99,0.36,83,No,106,96
2023-05-25,Telangana,Karimnagar,Karimnagar APMC,Tomato,Summer,5,2023,211.2,60.27,53.03,69.66,6.4,34.7,55.7,92.44,0.37,79,No,51,99
2022-12-02,Karnataka,Hubli,Hubli APMC,Tur (Arhar),Winter,12,2022,530.3,54.52,46.34,57.58,4.5,12.3,43.4,86.85,0.31,71,No,109,83
2024-04-05,Tamil Nadu,Madurai,Madurai Central,Gram (Chana),Summer,4,2024,165.0,90.09,82.86,99.84,3.0,32.0,52.7,90.81,1.3,287,No,64,103
2025-06-06,Kerala,Palakkad,Palakkad APMC,Paddy,Monsoon,6,2025,156.4,49.71,45.62,59.28,199.8,32.5,83.5,92.34,0.18,40,No,52,97
2025-03-20,Uttar Pradesh,Kanpur,Kanpur Mandi,Bajra,Summer,3,2025,106.6,22.65,21.5,26.01,9.8,43.9,33.7,94.45,1.41,299,No,108,94
2022-04-10,Uttar Pradesh,Lucknow,Lucknow Mandi,Jowar,Summer,4,2022,110.6,43.95,41.59,50.31,7.1,41.7,45.8,91.71,0.52,113,No,53,89
2024-07-24,Telangana,Warangal,Enumamula APMC,Tur (Arhar),Monsoon,7,2024,231.2,74.23,65.23,88.7,171.7,32.8,95.4,92.89,0.68,147,No,73,70
2023-10-30,Maharashtra,Mumbai,Vashi APMC,Soybean,Post-Monsoon,10,2023,58.6,83.28,79.11,91.32,1.5,30.4,40.8,92.23,0.24,53,No,58,91
2022-07-22,Haryana,Rohtak,Rohtak APMC,Moong,Monsoon,7,2022,77.5,82.84,71.18,88.64,77.4,27.7,74.1,89.34,1.01,226,No,71,72
2025-07-23,Andhra Pradesh,Chittoor,Chittoor APMC,Tomato,Monsoon,7,2025,172.1,35.57,33.61,38.74,50.4,31.3,85.9,97.19,0.96,198,No,51,74
2023-10-21,Punjab,Amritsar,Amritsar Market,Gram (Chana),Post-Monsoon,10,2023,139.7,187.81,173.09,217.15,9.4,22.4,88.4,93.59,0.74,159,Yes,60,174
2022-04-19,Telangana,Warangal,Enumamula APMC,Bajra,Summer,4,2022,171.5,30.08,26.28,35.61,9.4,31.2,51.5,89.94,0.33,73,No,66,88
2021-08-05,Gujarat,Ahmedabad,Ahmedabad APMC,Ragi,Monsoon,8,2021,305.5,18.0,16.2,19.73,185.8,25.9,74.2,84.84,0.93,220,No,105,68
2023-09-13,Uttar Pradesh,Lucknow,Lucknow Mandi,Moong,Monsoon,9,2023,265.9,84.94,79.37,96.55,78.1,32.5,84.5,89.94,0.67,150,No,76,76
2025-08-03,Uttar Pradesh,Varanasi,Varanasi APMC,Tur (Arhar),Monsoon,8,2025,78.0,167.03,143.44,190.61,141.8,31.4,81.9,93.09,0.89,192,Yes,78,135
2025-05-29,Kerala,Thrissur,Thrissur Market,Groundnut,Summer,5,2025,242.5,62.17,53.02,68.03,4.1,36.6,47.5,95.26,0.54,114,No,96,90
2023-02-25,Telangana,Warangal,Enumamula APMC,Jowar,Winter,2,2023,168.0,28.83,25.24,30.81,6.1,15.9,54.6,92.71,0.15,33,No,77,86
2025-09-25,Kerala,Thrissur,Thrissur Market,Groundnut,Monsoon,9,2025,65.2,79.8,69.8,90.95,180.5,27.8,74.8,92.45,1.29,279,No,56,67
2022-03-12,Karnataka,Mysuru,Mysuru APMC,Moong,Summer,3,2022,17.5,48.98,45.06,52.03,3.5,38.2,29.6,91.72,1.28,280,No,97,61
2020-05-11,Gujarat,Rajkot,Rajkot Market,Urad,Summer,5,2020,63.5,125.14,111.12,148.72,9.0,30.6,35.9,83.4,0.23,56,No,71,112
2023-10-23,Tamil Nadu,Tiruppur,Palladam Market,Mustard,Post-Monsoon,10,2023,338.8,60.47,52.1,72.42,8.6,26.0,86.1,92.28,0.49,107,No,97,104
2020-09-17,Haryana,Karnal,Karnal APMC,Cotton,Monsoon,9,2020,382.0,65.24,61.9,72.75,154.4,29.4,99.8,84.89,0.49,115,No,91,91
2025-05-31,Gujarat,Ahmedabad,Ahmedabad APMC,Paddy,Summer,5,2025,13.9,19.94,17.02,21.02,8.5,40.5,44.3,96.74,0.4,82,No,106,76
2022-05-31,Gujarat,Surat,Surat APMC,Moong,Summer,5,2022,260.2,86.45,78.51,101.34,9.3,35.1,23.1,86.02,1.11,257,No,84,91
2023-03-28,Tamil Nadu,Erode,Erode Market,Tomato,Summer,3,2023,138.3,18.31,15.82,19.23,8.4,37.2,41.1,93.48,0.3,65,No,105,73
2023-09-28,Telangana,Karimnagar,Karimnagar APMC,Gram (Chana),Monsoon,9,2023,331.2,48.13,43.61,52.06,72.5,31.9,73.6,89.0,0.38,86,No,96,83
2023-05-12,Andhra Pradesh,Chittoor,Chittoor APMC,Soybean,Summer,5,2023,448.7,46.53,41.82,50.79,4.4,42.4,44.7,89.49,0.15,33,No,96,86
2021-03-04,Haryana,Karnal,Karnal APMC,Mustard,Summer,3,2021,147.5,115.64,100.63,134.34,2.1,39.1,29.1,89.58,1.22,273,No,54,111
2025-01-31,Haryana,Karnal,Karnal APMC,Gram (Chana),Winter,1,2025,335.6,157.31,135.72,181.3,6.8,5.7,57.4,96.57,0.08,17,Yes,69,159
2024-02-23,Maharashtra,Nagpur,Kalamna Market,Urad,Winter,2,2024,90.5,123.15,107.72,144.08,5.5,6.9,57.8,91.53,0.69,150,No,68,92
2024-05-27,Punjab,Jalandhar,Jalandhar APMC,Urad,Summer,5,2024,267.2,127.61,113.29,148.25,6.2,44.6,43.6,94.05,1.32,281,No,62,85
2020-03-31,Tamil Nadu,Thanjavur,Thanjavur APMC,Moong,Summer,3,2020,51.6,81.09,69.7,89.15,8.8,30.0,29.9,87.91,0.53,120,No,83,96
2021-08-26,Karnataka,Mysuru,Mysuru APMC,Coconut,Monsoon,8,2021,241.8,73.24,67.45,82.31,154.5,32.0,95.0,84.49,0.44,105,Yes,67,137
2021-01-27,Kerala,Thrissur,Thrissur Market,Urad,Winter,1,2021,22.3,246.23,223.81,277.87,5.9,17.7,62.9,89.96,0.15,34,Yes,54,148
2023-03-22,Punjab,Amritsar,Amritsar Market,Onion,Summer,3,2023,275.9,32.35,28.79,38.64,2.1,37.2,28.3,93.3,0.75,160,No,84,91
2023-12-08,Uttar Pradesh,Kanpur,Kanpur Mandi,Maize,Winter,12,2023,316.0,30.6,27.29,36.33,4.8,6.6,67.4,93.29,0.77,166,No,83,99
2020-04-20,Andhra Pradesh,Chittoor,Chittoor APMC,Mustard,Summer,4,2020,306.8,57.26,49.24,66.98,8.4,35.8,21.8,82.39,0.61,147,No,89,99
2021-11-16,Punjab,Jalandhar,Jalandhar APMC,Soybean,Post-Monsoon,11,2021,21.7,88.68,75.94,97.1,3.6,31.1,87.3,84.99,0.86,203,No,67,118
2024-11-19,Uttar Pradesh,Agra,Agra APMC,Maize,Post-Monsoon,11,2024,32.7,83.59,72.88,97.46,2.7,17.7,87.7,92.68,0.15,32,Yes,52,153
2024-09-17,Tamil Nadu,Tiruppur,Palladam Market,Onion,Monsoon,9,2024,212.1,39.01,33.94,44.1,90.4,30.1,91.7,92.18,1.0,216,No,102,97
2024-03-06,Andhra Pradesh,Chittoor,Chittoor APMC,Tomato,Summer,3,2024,386.0,35.97,33.34,42.11,4.3,40.2,22.1,91.89,0.74,160,No,80,96
2021-10-03,Karnataka,Hubli,Hubli APMC,Urad,Post-Monsoon,10,2021,42.8,258.01,225.18,284.55,5.2,15.8,79.6,86.42,1.19,275,Yes,59,175
2025-10-19,Punjab,Amritsar,Amritsar Market,Groundnut,Post-Monsoon,10,2025,33.5,85.79,72.96,95.31,5.6,25.5,31.3,94.88,1.25,264,No,82,100
2020-10-11,Uttar Pradesh,Varanasi,Varanasi APMC,Urad,Post-Monsoon,10,2020,447.4,94.05,86.79,98.89,2.9,29.8,76.3,85.37,0.47,110,No,93,107
2022-06-22,Maharashtra,Pune,Pune APMC,Sunflower,Monsoon,6,2022,15.9,54.2,51.16,60.82,70.3,28.1,70.3,86.37,0.57,131,No,109,104
2023-05-18,Uttar Pradesh,Kanpur,Kanpur Mandi,Onion,Summer,5,2023,236.0,27.38,24.71,31.48,3.1,43.1,58.0,89.94,0.18,41,No,76,68
2025-02-14,Uttar Pradesh,Kanpur,Kanpur Mandi,Wheat,Winter,2,2025,364.1,18.77,17.05,19.88,8.4,23.4,60.8,93.36,0.14,30,No,106,71
2024-04-27,Karnataka,Hubli,Hubli APMC,Wheat,Summer,4,2024,287.8,12.0,10.47,12.94,4.7,34.6,28.6,92.38,0.31,67,No,172,74
2023-03-27,Karnataka,Hubli,Hubli APMC,Potato,Summer,3,2023,35.6,14.78,13.08,16.67,1.5,33.1,40.4,88.05,0.1,23,No,107,77
2021-03-31,Tamil Nadu,Salem,Salem APMC,Moong,Summer,3,2021,78.2,61.89,53.4,65.71,4.2,31.8,35.8,87.8,1.25,284,No,75,64
2023-12-31,Gujarat,Ahmedabad,Ahmedabad APMC,Coconut,Winter,12,2023,316.7,44.19,41.9,46.48,6.5,23.2,60.7,91.9,0.78,170,No,82,102
2021-12-07,Gujarat,Rajkot,Rajkot Market,Tomato,Winter,12,2021,122.4,19.07,17.48,20.28,0.1,8.0,42.2,88.54,0.4,90,No,76,66
2021-11-26,Telangana,Karimnagar,Karimnagar APMC,Jowar,Post-Monsoon,11,2021,61.8,27.11,25.24,29.43,6.8,15.0,57.9,84.51,1.23,291,Yes,72,82
2025-03-09,Gujarat,Surat,Surat APMC,Jowar,Summer,3,2025,220.4,42.2,39.54,47.54,2.2,44.0,36.9,92.56,1.33,287,No,79,119
2023-05-22,Gujarat,Surat,Surat APMC,Ragi,Summer,5,2023,151.3,37.19,33.11,39.99,6.4,32.5,43.0,93.95,1.3,276,No,50,63
2021-04-04,Uttar Pradesh,Lucknow,Lucknow Mandi,Onion,Summer,4,2021,112.1,28.6,24.54,33.1,0.0,42.8,45.5,89.3,0.45,101,No,88,89
2021-04-15,Gujarat,Surat,Surat APMC,Tur (Arhar),Summer,4,2021,278.1,60.05,52.63,71.9,1.0,41.7,41.7,85.96,0.29,68,No,87,73
2025-09-23,Maharashtra,Nashik,Pimpalgaon,Potato,Monsoon,9,2025,299.5,37.5,32.81,43.64,126.4,34.9,88.9,92.39,0.08,18,No,60,99
2020-04-23,Kerala,Thrissur,Thrissur Market,Sunflower,Summer,4,2020,80.6,60.08,53.32,71.6,7.5,43.6,53.5,83.25,1.24,299,No,78,93
2021-05-09,Maharashtra,Nagpur,Kalamna Market,Gram (Chana),Summer,5,2021,152.0,60.65,57.51,70.15,0.4,33.1,42.8,84.37,0.91,215,No,54,63
2025-03-21,Haryana,Panipat,Panipat Market,Wheat,Summer,3,2025,274.1,32.9,30.3,39.15,5.0,36.2,55.7,92.98,0.66,141,No,64,67
2021-02-26,Tamil Nadu,Salem,Salem APMC,Urad,Winter,2,2021,355.6,65.88,59.41,75.54,3.1,24.8,44.9,85.74,0.87,203,No,83,70
2024-09-16,Gujarat,Rajkot,Rajkot Market,Wheat,Monsoon,9,2024,356.1,27.3,25.13,30.29,178.6,34.9,75.6,92.44,1.16,251,No,81,75
2020-10-12,Maharashtra,Nashik,Lasalgaon APMC,Moong,Post-Monsoon,10,2020,276.6,88.99,82.37,104.1,4.4,22.7,33.1,83.36,0.38,91,No,67,81
2025-09-29,Kerala,Kannur,Kannur Market,Moong,Monsoon,9,2025,169.5,62.11,56.35,69.67,173.2,32.5,76.4,93.14,0.96,207,No,103,75
2022-09-20,Haryana,Panipat,Panipat Market,Wheat,Monsoon,9,2022,267.6,25.64,23.06,28.82,152.5,30.5,96.0,91.0,0.87,191,No,97,89
2022-09-18,Haryana,Karnal,Karnal APMC,Coconut,Monsoon,9,2022,308.2,38.85,36.56,40.96,197.4,26.0,92.6,90.06,1.32,294,No,74,82
2023-04-06,Uttar Pradesh,Agra,Agra APMC,Coconut,Summer,4,2023,96.3,47.52,41.43,56.78,2.0,34.0,44.9,90.19,0.71,158,No,81,104
2024-07-22,Tamil Nadu,Erode,Erode Market,Gram (Chana),Monsoon,7,2024,152.4,89.4,81.79,105.97,158.8,31.2,92.4,91.39,0.82,179,No,70,113
2021-11-08,Karnataka,Hubli,Hubli APMC,Ragi,Post-Monsoon,11,2021,236.2,77.44,67.83,87.45,8.6,18.1,40.5,84.0,1.11,264,Yes,61,161
2024-07-19,Karnataka,Bengaluru,Yeshwanthpur APMC,Potato,Monsoon,7,2024,14.5,22.32,19.18,24.15,90.2,34.5,96.4,93.0,0.26,55,No,88,92
2021-07-22,Kerala,Palakkad,Palakkad APMC,Mustard,Monsoon,7,2021,53.0,70.03,64.82,82.78,193.2,25.2,76.4,89.48,0.55,123,No,73,98
2025-01-12,Karnataka,Belagavi,Belagavi Market,Potato,Winter,1,2025,69.3,36.53,31.81,43.8,9.5,22.8,64.1,97.33,0.45,93,Yes,98,145
2022-09-25,Maharashtra,Mumbai,Vashi APMC,Groundnut,Monsoon,9,2022,159.2,124.4,117.83,134.59,164.6,29.8,82.8,89.83,0.08,17,No,53,106
2024-10-24,Karnataka,Hubli,Hubli APMC,Sunflower,Post-Monsoon,10,2024,33.0,106.28,99.85,119.5,2.7,29.2,74.5,94.79,1.36,288,Yes,100,162
2025-06-15,Haryana,Rohtak,Rohtak APMC,Cotton,Monsoon,6,2025,69.3,73.94,68.13,78.13,120.7,32.8,89.6,96.05,0.1,21,No,91,87
2023-01-23,Gujarat,Ahmedabad,Ahmedabad APMC,Wheat,Winter,1,2023,55.3,47.13,44.42,52.18,7.6,24.7,68.0,90.01,0.82,183,No,52,95
2025-12-15,Gujarat,Surat,Surat APMC,Onion,Winter,12,2025,340.3,33.14,28.47,36.75,9.6,15.1,44.1,94.82,1.13,239,No,69,72
2020-07-26,Gujarat,Ahmedabad,Ahmedabad APMC,Bajra,Monsoon,7,2020,399.7,19.7,17.17,23.01,186.4,25.4,92.2,82.68,0.45,109,No,96,89
2020-11-18,Karnataka,Belagavi,Belagavi Market,Tomato,Post-Monsoon,11,2020,245.9,29.05,25.71,34.51,6.0,31.2,52.4,85.26,0.66,154,Yes,108,140
2025-10-01,Gujarat,Rajkot,Rajkot Market,Soybean,Post-Monsoon,10,2025,518.1,54.17,49.2,60.37,2.4,19.5,62.5,96.02,1.4,291,No,107,101
2025-03-03,Haryana,Panipat,Panipat Market,Tomato,Summer,3,2025,80.3,46.0,40.79,48.62,0.7,43.9,54.4,96.71,1.12,232,No,63,82
2025-05-26,Uttar Pradesh,Agra,Agra APMC,Gram (Chana),Summer,5,2025,30.1,111.67,101.0,133.91,6.0,35.3,30.0,97.24,0.68,139,No,67,118
2020-06-09,Tamil Nadu,Salem,Salem APMC,Paddy,Monsoon,6,2020,127.9,26.27,22.5,30.15,172.0,33.2,93.9,83.37,0.55,133,No,68,81
2022-07-16,Andhra Pradesh,Kurnool,Kurnool Market,Maize,Monsoon,7,2022,75.6,23.87,21.9,27.08,56.7,34.4,93.2,90.54,0.73,161,No,108,110
2023-02-27,Andhra Pradesh,Guntur,Guntur APMC,Tomato,Winter,2,2023,150.5,36.47,32.38,38.58,2.9,19.1,43.1,88.17,0.86,195,No,75,118
2025-02-20,Karnataka,Hubli,Hubli APMC,Soybean,Winter,2,2025,252.0,91.23,78.49,99.45,3.9,9.1,42.4,96.31,1.17,243,No,51,85
2020-11-04,Andhra Pradesh,Kurnool,Kurnool Market,Groundnut,Post-Monsoon,11,2020,241.3,113.15,106.11,129.18,9.0,16.4,45.9,86.44,0.76,175,Yes,86,157
2021-11-07,Tamil Nadu,Erode,Erode Market,Bajra,Post-Monsoon,11,2021,59.7,18.27,16.64,20.91,2.6,19.0,65.6,87.23,0.39,89,Yes,92,81
2022-08-21,Maharashtra,Pune,Pune APMC,Gram (Chana),Monsoon,8,2022,347.8,93.45,85.06,105.69,136.7,29.6,84.0,87.57,0.53,121,Yes,90,140
2025-04-06,Punjab,Ludhiana,Ludhiana APMC,Paddy,Summer,4,2025,216.3,34.2,29.95,39.67,1.4,32.2,36.4,93.09,1.15,247,No,73,88
2023-06-25,Telangana,Warangal,Enumamula APMC,Moong,Monsoon,6,2023,98.4,93.03,79.25,99.64,124.3,26.0,86.0,89.04,0.9,202,No,53,60
2021-10-18,Tamil Nadu,Coimbatore,Mettupalayam Market,Sunflower,Post-Monsoon,10,2021,197.5,136.66,117.99,145.85,0.9,26.8,43.7,88.91,1.22,274,Yes,76,177
2022-10-20,Gujarat,Surat,Surat APMC,Ragi,Post-Monsoon,10,2022,262.8,55.51,49.37,62.02,7.3,20.2,80.6,91.6,0.47,102,Yes,80,141
2020-10-10,Tamil Nadu,Trichy,Gandhi Market,Sunflower,Post-Monsoon,10,2020,490.2,95.41,87.01,109.12,5.0,27.3,89.4,83.32,0.49,118,Yes,104,175
2023-10-08,Punjab,Amritsar,Amritsar Market,Groundnut,Post-Monsoon,10,2023,223.4,194.8,172.92,225.91,0.3,34.9,64.5,88.23,0.06,13,Yes,65,173
2022-10-27,Kerala,Palakkad,Palakkad APMC,Tur (Arhar),Post-Monsoon,10,2022,71.6,67.17,61.96,75.96,1.8,27.8,50.6,89.67,0.64,143,No,92,87
2024-11-01,Haryana,Karnal,Karnal APMC,Bajra,Post-Monsoon,11,2024,367.6,35.02,30.7,41.68,4.5,16.4,56.0,95.72,1.26,264,Yes,85,119
2025-11-20,Karnataka,Bengaluru,Yeshwanthpur APMC,Cotton,Post-Monsoon,11,2025,497.2,40.45,36.82,47.74,5.8,25.4,68.1,97.04,0.42,87,Yes,161,114
2023-02-18,Kerala,Kannur,Kannur Market,Gram (Chana),Winter,2,2023,115.2,79.04,75.06,86.7,6.2,12.0,58.4,91.54,0.08,17,No,74,108
2021-05-26,Uttar Pradesh,Varanasi,Varanasi APMC,Onion,Summer,5,2021,257.7,40.34,37.7,46.14,1.6,33.9,54.4,85.29,0.69,161,No,77,109
2021-08-31,Gujarat,Surat,Surat APMC,Urad,Monsoon,8,2021,103.5,127.64,116.14,141.78,157.0,31.8,98.5,84.49,0.2,48,No,58,89
2025-12-04,Haryana,Karnal,Karnal APMC,Jowar,Winter,12,2025,334.8,18.62,17.57,20.12,9.6,5.9,59.0,97.53,0.9,185,No,97,63
2024-08-21,Uttar Pradesh,Varanasi,Varanasi APMC,Coconut,Monsoon,8,2024,109.6,49.81,46.03,57.3,199.3,34.6,81.1,91.21,1.06,232,No,87,115
2021-04-01,Maharashtra,Mumbai,Vashi APMC,Potato,Summer,4,2021,309.7,20.36,18.98,23.97,3.6,36.0,31.4,87.39,0.32,74,No,68,70
2024-11-25,Gujarat,Ahmedabad,Ahmedabad APMC,Ragi,Post-Monsoon,11,2024,118.3,28.58,26.7,30.51,5.9,33.6,66.5,93.49,1.1,236,No,108,100
2024-08-27,Haryana,Rohtak,Rohtak APMC,Jowar,Monsoon,8,2024,140.7,40.06,37.91,46.1,180.8,32.4,99.0,90.58,0.26,57,No,79,115
2025-07-15,Andhra Pradesh,Chittoor,Chittoor APMC,Gram (Chana),Monsoon,7,2025,82.0,90.44,81.89,101.43,110.2,33.9,97.7,95.18,1.09,229,No,77,117
2025-04-16,Maharashtra,Nashik,Pimpalgaon,Groundnut,Summer,4,2025,12.5,97.77,89.55,105.33,0.8,30.9,55.9,97.69,0.63,130,No,76,107
2025-08-26,Haryana,Rohtak,Rohtak APMC,Paddy,Monsoon,8,2025,140.0,73.6,69.43,81.94,50.9,25.9,73.6,94.74,0.76,161,Yes,70,169
2024-08-18,Andhra Pradesh,Kurnool,Kurnool Market,Cotton,Monsoon,8,2024,207.5,61.7,57.14,71.92,149.5,28.1,86.7,95.35,0.95,199,Yes,108,93
2020-12-13,Telangana,Hyderabad,Bowenpally Market,Cotton,Winter,12,2020,369.4,34.15,29.24,36.56,7.7,24.7,42.3,84.51,0.78,184,No,168,112
2021-11-26,Andhra Pradesh,Kurnool,Kurnool Market,Bajra,Post-Monsoon,11,2021,95.3,27.66,24.34,32.26,3.3,28.0,35.6,88.64,0.17,39,Yes,51,66
2024-12-16,Karnataka,Hubli,Hubli APMC,Mustard,Winter,12,2024,378.6,63.71,59.31,74.48,5.2,19.7,54.5,90.22,0.16,36,No,108,116
2022-08-11,Uttar Pradesh,Varanasi,Varanasi APMC,Cotton,Monsoon,8,2022,9.2,97.42,84.47,106.77,146.8,31.1,89.3,86.84,0.93,215,Yes,56,78
2023-01-24,Andhra Pradesh,Kurnool,Kurnool Market,Ragi,Winter,1,2023,506.1,42.02,38.1,48.55,5.2,7.5,58.9,92.72,0.51,110,Yes,101,136
2025-07-15,Gujarat,Rajkot,Rajkot Market,Tomato,Monsoon,7,2025,164.7,29.5,25.35,31.34,131.0,29.0,75.7,94.99,1.02,214,No,69,80
2022-10-22,Karnataka,Hubli,Hubli APMC,Mustard,Post-Monsoon,10,2022,204.9,154.07,139.86,171.27,4.1,31.5,38.2,89.59,0.71,159,Yes,64,170
2022-09-03,Punjab,Amritsar,Amritsar Market,Paddy,Monsoon,9,2022,176.8,47.69,42.19,50.68,121.7,34.0,71.6,91.7,0.91,198,No,55,104
2021-10-28,Uttar Pradesh,Kanpur,Kanpur Mandi,Coconut,Post-Monsoon,10,2021,49.5,77.65,70.54,90.82,4.4,26.5,38.8,84.93,0.34,79,Yes,63,134
2022-03-04,Andhra Pradesh,Guntur,Guntur APMC,Soybean,Summer,3,2022,368.8,55.18,50.09,58.29,1.9,30.7,22.2,91.31,0.22,49,No,81,89
2025-04-09,Haryana,Karnal,Karnal APMC,Coconut,Summer,4,2025,335.8,36.18,31.83,41.8,3.7,40.3,47.0,92.96,1.17,251,No,68,63
2025-10-24,Uttar Pradesh,Agra,Agra APMC,Gram (Chana),Post-Monsoon,10,2025,277.9,107.36,93.14,114.42,8.7,33.9,68.6,92.94,0.23,50,Yes,106,163
2021-10-16,Andhra Pradesh,Guntur,Guntur APMC,Potato,Post-Monsoon,10,2021,23.8,41.55,37.9,48.17,4.2,18.4,80.2,86.32,0.76,176,Yes,74,146
2022-03-18,Kerala,Ernakulam,Ernakulam Central,Jowar,Summer,3,2022,193.6,38.73,36.45,43.72,6.5,41.1,50.4,88.98,0.99,223,No,71,114
2022-07-06,Kerala,Kannur,Kannur Market,Sunflower,Monsoon,7,2022,233.7,65.56,56.88,74.51,173.1,27.4,78.3,86.94,0.68,156,No,55,67
2023-09-12,Punjab,Jalandhar,Jalandhar APMC,Jowar,Monsoon,9,2023,39.0,18.75,17.8,19.74,97.8,33.2,98.8,90.11,0.4,89,No,102,72
2023-06-09,Punjab,Amritsar,Amritsar Market,Moong,Monsoon,6,2023,32.0,107.96,98.33,118.11,128.0,26.5,97.1,90.85,0.47,104,No,57,73
2024-11-13,Punjab,Ludhiana,Ludhiana APMC,Moong,Post-Monsoon,11,2024,102.9,262.76,239.83,313.07,3.3,31.1,53.7,90.64,0.1,22,Yes,50,138
2025-01-04,Haryana,Rohtak,Rohtak APMC,Cotton,Winter,1,2025,139.5,74.26,65.45,78.18,0.5,24.5,59.1,93.55,1.36,290,Yes,91,86
2021-06-16,Gujarat,Ahmedabad,Ahmedabad APMC,Urad,Monsoon,6,2021,385.5,90.07,85.38,106.23,136.7,33.8,95.2,87.2,0.86,197,No,77,84
2024-03-15,Karnataka,Mysuru,Mysuru APMC,Moong,Summer,3,2024,74.1,77.72,68.61,82.77,9.2,43.3,22.0,91.01,0.4,89,No,101,95
2024-10-25,Kerala,Thrissur,Thrissur Market,Bajra,Post-Monsoon,10,2024,19.8,24.58,21.04,25.9,2.1,19.1,59.6,92.08,0.73,159,Yes,70,74
2024-09-23,Punjab,Amritsar,Amritsar Market,Cotton,Monsoon,9,2024,125.9,96.91,82.76,116.1,172.1,34.4,96.1,92.59,0.13,28,No,77,100
2021-01-08,Uttar Pradesh,Varanasi,Varanasi APMC,Soybean,Winter,1,2021,205.2,140.0,129.6,166.93,8.4,11.5,51.6,86.23,0.57,133,Yes,59,149
2021-05-30,Kerala,Kannur,Kannur Market,Bajra,Summer,5,2021,150.0,26.32,23.06,28.58,9.8,31.8,32.5,85.95,0.58,135,No,87,109
2020-07-14,Karnataka,Hubli,Hubli APMC,Coconut,Monsoon,7,2020,256.1,43.66,37.5,47.94,135.1,33.3,85.0,85.5,0.8,188,No,61,87
2021-02-14,Punjab,Jalandhar,Jalandhar APMC,Moong,Winter,2,2021,322.8,69.68,59.5,76.48,4.5,6.4,50.3,88.25,1.0,226,No,70,62
2025-02-11,Uttar Pradesh,Varanasi,Varanasi APMC,Sunflower,Winter,2,2025,239.4,77.86,73.84,85.17,8.8,19.3,59.0,97.87,0.89,181,No,56,67
2020-05-11,Tamil Nadu,Salem,Salem APMC,Bajra,Summer,5,2020,187.2,40.14,35.67,46.6,5.5,31.7,57.4,83.51,0.8,191,No,50,101
